City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
hilo,40,US,02/25/19,54,19.71,-155.08,78.8,10.29
sao filipe,12,CV,02/25/19,85,14.9,-24.5,73.64,13.8
abha,0,SA,02/25/19,67,18.22,42.5,60.8,1.95
grand baie,40,MU,02/25/19,83,-20.02,57.58,80.6,9.17
hermanus,32,ZA,02/25/19,92,-34.42,19.24,66.99,1.01
vaini,0,IN,02/25/19,82,15.34,74.49,57.98,1.83
mount gambier,75,AU,02/25/19,68,-37.83,140.78,66.2,16.11
marathon,40,CA,02/25/19,49,48.72,-86.38,3.2,10.29
kapaa,90,US,02/25/19,54,22.08,-159.32,78.8,14.99
ponta do sol,8,BR,02/25/19,80,-20.63,-46.0,73.96,3.4
tuktoyaktuk,40,CA,02/25/19,92,69.44,-133.03,12.2,12.75
port alfred,12,ZA,02/25/19,95,-33.59,26.89,69.01,8.43
albany,90,US,02/25/19,68,42.65,-73.75,30.2,31.09
new norfolk,75,AU,02/25/19,76,-42.78,147.06,57.2,10.29
cherskiy,8,RU,02/25/19,62,68.75,161.3,-21.63,5.41
broome,0,GB,02/25/19,60,52.47,1.45,46.4,4.7
olga,1,US,02/25/19,52,34.11,-118.17,69.01,4.7
aberdeen,1,US,02/25/19,64,45.47,-98.49,-2.01,6.93
chokurdakh,8,RU,02/25/19,63,70.62,147.9,-34.5,2.95
busselton,92,AU,02/25/19,38,-33.64,115.35,71.01,13.47
byron bay,90,AU,02/25/19,60,-28.65,153.62,75.99,8.05
tasiilaq,88,GL,02/25/19,92,65.61,-37.64,28.4,3.36
sisimiut,80,GL,02/25/19,86,66.94,-53.67,3.71,1.16
rikitea,76,PF,02/25/19,100,-23.12,-134.97,80.39,10.22
soufriere,20,LC,02/25/19,69,13.86,-61.06,78.8,23.04
lagoa,0,PT,02/25/19,67,37.14,-8.45,59.0,9.17
san felix,20,PH,02/25/19,69,14.08,121.19,77.0,4.7
tiksi,32,RU,02/25/19,65,71.64,128.87,-4.75,6.64
punta arenas,75,CL,02/25/19,81,-53.16,-70.91,50.0,23.04
avera,1,US,02/25/19,17,33.19,-82.53,66.2,3.36
marshfield,20,US,02/25/19,37,42.09,-70.71,34.0,14.99
ixtapa,20,MX,02/25/19,65,20.71,-105.21,77.0,9.17
paris,0,FR,02/25/19,61,48.86,2.35,52.0,2.24
colombo,0,LK,02/25/19,88,6.93,79.85,77.0,2.24
ushuaia,75,AR,02/25/19,87,-54.81,-68.31,46.4,6.93
dunedin,48,NZ,02/25/19,70,-45.87,170.5,60.01,1.99
bhadrachalam,80,IN,02/25/19,95,17.67,80.89,71.71,8.43
hamilton,20,BM,02/25/19,68,32.3,-64.78,64.4,20.8
eufaula,1,US,02/25/19,23,31.89,-85.15,64.4,6.93
victoria,75,BN,02/25/19,88,5.28,115.24,78.8,3.36
klaksvik,88,FO,02/25/19,81,62.23,-6.59,50.0,24.16
butaritari,88,KI,02/25/19,100,3.07,172.79,83.45,18.72
nome,90,US,02/25/19,81,30.04,-94.42,57.2,8.05
salta,90,AR,02/25/19,93,-24.79,-65.41,66.2,8.05
guerrero negro,0,MX,02/25/19,42,27.97,-114.04,65.86,7.65
ibipeba,32,BR,02/25/19,88,-11.64,-42.01,70.31,2.95
severo-kurilsk,64,RU,02/25/19,100,50.68,156.12,22.34,12.01
cabo san lucas,20,MX,02/25/19,60,22.89,-109.91,73.99,4.7
sur,0,OM,02/25/19,99,22.57,59.53,69.55,18.05
vila velha,0,BR,02/25/19,83,-3.71,-38.6,81.0,6.93
airai,0,TL,02/25/19,73,-8.93,125.41,77.56,2.17
georgetown,20,GY,02/25/19,83,6.8,-58.16,82.4,9.17
kaitangata,36,NZ,02/25/19,57,-46.28,169.85,67.34,8.43
flinders,36,AU,02/25/19,59,-34.58,150.85,75.99,1.01
batsfjord,75,NO,02/25/19,79,70.63,29.72,26.6,8.05
yankton,90,US,02/25/19,71,42.87,-97.4,7.0,13.87
east london,8,ZA,02/25/19,97,-33.02,27.91,77.2,16.93
castro,20,CL,02/25/19,62,-42.48,-73.76,59.0,17.22
marrakesh,0,MA,02/25/19,34,31.63,-7.99,64.4,3.36
arraial do cabo,40,BR,02/25/19,79,-22.97,-42.02,84.2,4.7
zwedru,12,LR,02/25/19,85,6.07,-8.13,76.43,9.33
thompson,75,CA,02/25/19,48,55.74,-97.86,-5.81,11.41
saint-philippe,90,CA,02/25/19,57,45.36,-73.48,19.4,11.41
dikson,92,RU,02/25/19,92,73.51,80.55,9.65,20.51
katsuura,75,JP,02/25/19,66,33.93,134.5,48.2,13.87
santa rosalia,20,IT,02/25/19,75,38.07,13.27,45.0,6.93
heze,92,CN,02/25/19,71,35.25,115.45,36.61,7.54
puerto ayora,75,EC,02/25/19,70,-0.74,-90.35,86.0,9.17
mataura,56,NZ,02/25/19,52,-46.19,168.86,66.0,8.01
port elizabeth,1,US,02/25/19,27,39.31,-74.98,43.0,18.34
balakhta,12,RU,02/25/19,56,55.38,91.62,5.6,6.76
bambous virieux,40,MU,02/25/19,83,-20.34,57.76,80.6,9.17
barrow,8,AR,02/25/19,68,-38.31,-60.23,52.04,12.01
hasaki,75,JP,02/25/19,100,35.73,140.83,50.0,13.87
maragogi,12,BR,02/25/19,93,-9.01,-35.22,78.1,8.1
cape town,20,ZA,02/25/19,94,-33.93,18.42,71.01,9.17
saskylakh,32,RU,02/25/19,53,71.97,114.09,-19.11,2.95
shimoda,75,JP,02/25/19,66,34.7,138.93,54.0,4.7
dharchula,88,IN,02/25/19,97,29.85,80.53,25.9,1.61
jamestown,0,AU,02/25/19,29,-33.21,138.6,84.13,4.63
ilebo,20,CD,02/25/19,84,-4.33,20.59,76.66,3.51
